Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Discriminator Loss,Discriminator Test Loss,Generator Loss
2024-03-01 22:14:59,,8ddeb1f40be54555ac143f1450db5167,classy-goose-607,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6911402344703674,0.6921350359916687,0.6844756603240967
2024-03-01 22:14:59,,3c1b47df26504aeaa4ffad8c53c96346,overjoyed-colt-498,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6919645965099335,0.6924017667770386,0.6902616024017334
2024-03-01 22:14:39,,00dceb12c37b431dbe1973a423225053,wise-ant-67,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6923524737358093,0.69123575091362,0.688508152961731
2024-03-01 22:14:43,,a52cb5ae048e44daaf2f8793a5e07136,salty-asp-242,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6924344599246979,0.6919706761837006,0.6879737377166748
2024-03-01 22:14:19,,0bc024430011481fa6f7a75eab4aaa11,spiffy-fawn-984,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.692707359790802,0.6925062537193298,0.6903954744338989
2024-03-01 22:13:59,,07470871789d4475b0ae2aa36ccf5df6,funny-elk-399,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6928830742835999,0.6928507089614868,0.6897807121276855
2024-03-01 22:14:40,,001df6d84a0a47c18ab545a28c0b5b71,unruly-boar-298,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6930361986160278,0.6927390396595001,0.6924030780792236
2024-03-01 22:15:19,,6479856586834c2589a8868c5bf73002,beautiful-bear-341,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6932186484336853,0.6929115056991577,0.6929134130477905
2024-03-01 22:14:41,,9f9286b97e4d46568629ffed51a565d7,selective-bug-632,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6932392418384552,0.6925378441810608,0.6925476789474487
2024-03-01 22:15:01,,e8691532db03409e9fbdc9a73c9964b0,orderly-stag-797,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6932522654533386,0.6930915713310242,0.6900724172592163
2024-03-01 22:14:19,,f3403037f6784e31b32b4b0a037a46bf,trusting-penguin-598,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6933561265468597,0.692354679107666,0.6918842196464539
2024-03-01 22:14:22,,35f8bb497c1a4f5ebb33ad0372f09a74,nimble-asp-822,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6934564113616943,0.6929776072502136,0.6932678818702698
2024-03-01 22:15:00,,a62c5ebc17f04277800fdf94ba0a529d,defiant-fly-408,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6934873461723328,0.693382054567337,0.6917901039123535
2024-03-01 22:15:02,,6fbaa4243403442b95f10a4909be782a,chill-dove-616,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6935749650001526,0.6937519311904907,0.6936461925506592
2024-03-01 22:14:39,,8e76f832cecf440590e314eaaa494bd6,industrious-carp-542,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6935951113700867,0.6930720508098602,0.694151759147644
2024-03-01 22:14:20,,aebea3326f3f479ab0b9b93d8cc5ee41,dashing-steed-473,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6936644911766052,0.693155437707901,0.6937277317047119
2024-03-01 22:14:19,,2cd58c8dc7364dcd8044e9a6bac592d8,wise-lark-727,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.693748950958252,0.6925967335700989,0.6917014122009277
2024-03-01 22:15:19,,f3968160d858496a9d563c1f17dbcc39,worried-doe-534,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6940248608589172,0.6931749284267426,0.6941027641296387
2024-03-01 22:14:41,,4477d9e3eba542d19f033ae7611e5252,adventurous-ram-170,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6943303942680359,0.6937233805656433,0.6968778371810913
2024-03-01 22:14:39,,d799c5ada58b46e195bab4f0823812da,salty-sponge-205,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6948764026165009,0.6939692795276642,0.6976861953735352
2024-03-01 22:13:59,,284693014a494028a347b5bf7b9746c9,bright-mouse-378,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6953452229499817,0.6952000558376312,0.7003248929977417
2024-03-01 22:15:00,,b25c3cd791c34ef58c7c704e2231ae2a,gregarious-slug-331,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6954063475131989,0.6903717219829559,0.6843041181564331
2024-03-01 22:15:39,,a025a3c68bd241039fce0203ebb84754,debonair-fawn-909,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6956277787685394,0.6927546858787537,0.6928269267082214
2024-03-01 22:15:46,,f23e2272b0b54ef4a0bfb51b13969051,loud-lamb-760,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6956410706043243,0.6918853223323822,0.6850161552429199
2024-03-01 22:13:58,,cd1810b53a6c4ed5bfad0cd1b3203972,judicious-grub-819,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6957939267158508,0.6929552555084229,0.6848160028457642
2024-03-01 22:15:20,,6d4aca8e62f54a54bfe8d56577b6315e,rebellious-calf-373,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6958141922950745,0.6917970478534698,0.6807237267494202
2024-03-01 22:13:58,,ecb8bab67fcc4b2296c89fac61c8c609,aged-dolphin-361,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6959064900875092,0.6924616992473602,0.6835510730743408
2024-03-01 22:15:58,,9870aa690fa14d849368bc5e1829fd90,gifted-squirrel-279,NOTEBOOK,/Users/m332479@azg.pwus.us/Projects/GANs CyberSecurity/cGAN-based_Intrusion_Detection_System_optimization,m332479@azg.pwus.us,RUNNING,0.6959867775440216,0.6913961172103882,0.6832767128944397
